"","GEOID","NAME","med_rentE","med_rentM","no_bedE","no_bedM","one_bedE","one_bedM","med_rent_percE","med_rent_percM","two_bedE","two_bedM","three_bedE","three_bedM","four_bedE","four_bedM","five_bedE","five_bedM"
"36","10003012500","Census Tract 125, New Castle County, Delaware",1137,115,NA,NA,736,58,33.1,4.6,1115,29,1365,21,NA,NA,NA,NA
"37","10003013100","Census Tract 131, New Castle County, Delaware",1010,269,NA,NA,NA,NA,19.4,10.4,1031,151,1535,364,NA,NA,NA,NA
"38","10003013300","Census Tract 133, New Castle County, Delaware",1571,253,NA,NA,NA,NA,35,16.9,NA,NA,1541,247,NA,NA,NA,NA
"39","10003013800","Census Tract 138, New Castle County, Delaware",1286,85,NA,NA,1198,95,19.9,3.7,1282,115,1430,196,NA,NA,NA,NA
"40","10003014000","Census Tract 140, New Castle County, Delaware",989,38,NA,NA,912,34,30.7,4.3,1095,36,1261,212,NA,NA,NA,NA
"41","10003014100","Census Tract 141, New Castle County, Delaware",1119,70,NA,NA,NA,NA,26.3,3.1,1099,40,1551,203,2036,363,NA,NA
"42","10003014403","Census Tract 144.03, New Castle County, Delaware",1171,47,NA,NA,1077,45,34.6,9.3,1125,92,1562,374,1568,647,NA,NA
"43","10003014803","Census Tract 148.03, New Castle County, Delaware",987,96,NA,NA,944,49,25,7.2,1150,173,2087,911,NA,NA,NA,NA
"44","10003015000","Census Tract 150, New Castle County, Delaware",988,72,NA,NA,887,139,34.7,15.5,1027,78,NA,NA,NA,NA,NA,NA
"45","10003015900","Census Tract 159, New Castle County, Delaware",1289,278,NA,NA,NA,NA,32.2,8.6,NA,NA,1362,310,NA,NA,NA,NA
"46","10005050405","Census Tract 504.05, Sussex County, Delaware",852,81,NA,NA,682,134,27.3,11.5,883,177,NA,NA,NA,NA,NA,NA
"47","10005050406","Census Tract 504.06, Sussex County, Delaware",815,393,NA,NA,NA,NA,37.2,10.6,598,451,1358,79,NA,NA,NA,NA
"48","10005050407","Census Tract 504.07, Sussex County, Delaware",1138,36,NA,NA,1063,116,31.6,6.8,1128,36,1273,253,NA,NA,NA,NA
"49","10005050408","Census Tract 504.08, Sussex County, Delaware",1028,204,NA,NA,NA,NA,30.1,10.9,809,190,1059,63,NA,NA,NA,NA
"50","10005050503","Census Tract 505.03, Sussex County, Delaware",832,196,NA,NA,518,17,34.2,8.4,810,190,1152,389,1655,108,NA,NA
"51","10001040501","Census Tract 405.01, Kent County, Delaware",1076,168,NA,NA,1069,283,38.2,3.8,977,51,1328,280,1563,295,NA,NA
"52","10001040502","Census Tract 405.02, Kent County, Delaware",833,259,NA,NA,NA,NA,39.4,19.4,760,189,1265,147,1667,957,NA,NA
"53","10001043202","Census Tract 432.02, Kent County, Delaware",988,91,NA,NA,938,72,33.2,12.9,935,144,1083,241,1260,190,NA,NA
"54","10001043300","Census Tract 433, Kent County, Delaware",1232,97,1090,110,725,438,33.4,4.2,1306,89,1283,195,NA,NA,NA,NA
"55","10001043400","Census Tract 434, Kent County, Delaware",904,94,727,137,616,244,31.2,3.2,778,87,949,80,NA,NA,NA,NA
"56","10001990000","Census Tract 9900, Kent County, Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","10003013903","Census Tract 139.03, New Castle County, Delaware",1383,94,NA,NA,NA,NA,16.1,3.1,NA,NA,1400,346,NA,NA,NA,NA
"58","10003013904","Census Tract 139.04, New Castle County, Delaware",1383,48,NA,NA,1158,139,23.7,6.2,1356,41,1855,162,2150,293,NA,NA
"59","10003014809","Census Tract 148.09, New Castle County, Delaware",1692,72,NA,NA,1358,29,24.2,3.2,1722,34,1781,61,NA,NA,NA,NA
"60","10005051203","Census Tract 512.03, Sussex County, Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","10005051204","Census Tract 512.04, Sussex County, Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","10005051205","Census Tract 512.05, Sussex County, Delaware",1063,574,NA,NA,NA,NA,16.6,2.7,NA,NA,NA,NA,NA,NA,NA,NA
"63","10005051305","Census Tract 513.05, Sussex County, Delaware",1274,181,1313,150,NA,NA,34.7,7.3,863,281,1452,210,1555,949,NA,NA
"64","10005051306","Census Tract 513.06, Sussex County, Delaware",1530,443,NA,NA,NA,NA,29.7,11.4,1091,211,1817,235,NA,NA,NA,NA
"65","10005990000","Census Tract 9900, Sussex County, Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","10003014404","Census Tract 144.04, New Castle County, Delaware",1592,136,NA,NA,1307,166,43.9,10.3,1702,78,NA,NA,NA,NA,NA,NA
"67","10003014903","Census Tract 149.03, New Castle County, Delaware",1261,91,NA,NA,1351,51,29,10.7,1168,120,1325,86,NA,NA,NA,NA
"68","10003000300","Census Tract 3, New Castle County, Delaware",1010,187,NA,NA,776,105,32.2,9.8,970,393,1143,170,NA,NA,NA,NA
"69","10003000601","Census Tract 6.01, New Castle County, Delaware",1144,188,NA,NA,NA,NA,36.9,13.8,1339,469,1092,157,1330,481,NA,NA
"70","10003002100","Census Tract 21, New Castle County, Delaware",607,265,329,38,349,91,32.3,4.5,963,320,1192,108,672,567,NA,NA
"71","10003002500","Census Tract 25, New Castle County, Delaware",959,182,NA,NA,874,206,37.4,10.7,NA,NA,1279,136,NA,NA,NA,NA
"72","10003011201","Census Tract 112.01, New Castle County, Delaware",1398,63,NA,NA,1075,251,17.4,2.2,1387,28,1802,94,NA,NA,NA,NA
"73","10003011300","Census Tract 113, New Castle County, Delaware",1133,339,NA,NA,911,223,28.5,19.9,918,231,NA,NA,NA,NA,NA,NA
"74","10003011500","Census Tract 115, New Castle County, Delaware",1021,550,NA,NA,NA,NA,46.5,10.7,1102,60,NA,NA,NA,NA,NA,NA
"75","10003011700","Census Tract 117, New Castle County, Delaware",1229,1094,850,89,NA,NA,28,2.3,2102,1652,NA,NA,NA,NA,NA,NA
"76","10003012300","Census Tract 123, New Castle County, Delaware",976,67,NA,NA,852,18,42.9,24.4,1031,115,NA,NA,NA,NA,NA,NA
"77","10003014808","Census Tract 148.08, New Castle County, Delaware",1282,83,NA,NA,1084,101,30.4,8.1,1265,92,1564,544,NA,NA,NA,NA
