"","GEOID","NAME","med_incE","med_incM","med_fE","med_fM","hh_incE","hh_incM","tot_hhE","tot_hhM","renter_householdersE","renter_householdersM","tot_pop_rentE","tot_pop_rentM","tot_huE","tot_huM","pop_huE","pop_huM","popTotEE","popTotEM"
"69","10003000601","Census Tract 6.01, New Castle County, Delaware",22103,5848,NA,NA,996,72,996,72,1695,432,1721,445,1078,48,3103,415,3311,439
"70","10003002100","Census Tract 21, New Castle County, Delaware",17017,3082,38207,8661,773,74,773,74,1568,255,1622,272,982,41,1853,279,1872,281
"71","10003002500","Census Tract 25, New Castle County, Delaware",23891,2969,26983,7323,1265,119,1265,119,1358,305,1358,305,1370,61,3163,412,3170,413
"72","10003011201","Census Tract 112.01, New Castle County, Delaware",40996,5030,119750,8443,846,34,846,34,703,192,756,212,852,32,2794,326,2947,345
"73","10003011300","Census Tract 113, New Castle County, Delaware",52692,10538,NA,NA,944,59,944,59,201,67,201,67,975,40,2194,148,2199,148
"74","10003011500","Census Tract 115, New Castle County, Delaware",38350,7346,NA,NA,1181,60,1181,60,343,171,352,168,1216,25,2924,260,2924,260
"75","10003011700","Census Tract 117, New Castle County, Delaware",68470,9848,NA,NA,1668,70,1668,70,192,112,192,112,1783,50,4137,240,4148,240
"76","10003012300","Census Tract 123, New Castle County, Delaware",32304,7472,NA,NA,1135,118,1135,118,1199,366,1199,366,1302,110,2779,328,2784,327
"77","10003014808","Census Tract 148.08, New Castle County, Delaware",37640,6262,NA,NA,2426,138,2426,138,2209,581,2225,584,2626,54,6377,617,6387,616
"78","10003013610","Census Tract 136.10, New Castle County, Delaware",42241,4181,110625,41464,2150,107,2150,107,922,212,922,212,2238,66,5581,366,5700,370
"79","10003013700","Census Tract 137, New Castle County, Delaware",33351,3210,NA,NA,1526,83,1526,83,2335,422,2348,423,1622,45,4074,382,4079,381
"80","10003014904","Census Tract 149.04, New Castle County, Delaware",35788,5065,NA,NA,2095,60,2095,60,1723,290,1769,284,2095,60,4798,321,4803,320
"81","10003016200","Census Tract 162, New Castle County, Delaware",45088,6222,NA,NA,1262,109,1262,109,973,207,981,208,1477,102,2657,215,2657,215
"82","10003016301","Census Tract 163.01, New Castle County, Delaware",36845,6225,74970,50309,2268,152,2268,152,1901,544,1901,544,2521,102,5552,545,5557,545
"83","10003016601","Census Tract 166.01, New Castle County, Delaware",40472,4707,105690,11534,4686,302,4686,302,2592,782,2661,807,4934,233,12707,677,12837,682
"84","10003016602","Census Tract 166.02, New Castle County, Delaware",53744,6288,NA,NA,3566,190,3566,190,439,344,439,344,3689,176,10717,574,10739,579
"85","10003016901","Census Tract 169.01, New Castle County, Delaware",39058,3400,66250,43705,809,56,809,56,172,99,172,99,882,18,2259,207,2264,207
"86","10003000602","Census Tract 6.02, New Castle County, Delaware",20500,2586,NA,NA,1229,123,1229,123,1919,561,1919,561,1499,59,2786,492,2786,492
"87","10003002800","Census Tract 28, New Castle County, Delaware",35655,4173,NA,NA,943,119,943,119,1120,216,1120,216,1327,86,1499,206,1647,222
"88","10003002900","Census Tract 29, New Castle County, Delaware",16300,2444,NA,NA,1555,118,1555,118,2729,450,2798,450,1793,76,3559,484,3827,507
"89","10003001902","Census Tract 19.02, New Castle County, Delaware",30824,8322,NA,NA,870,77,870,77,1303,211,1327,226,1182,35,2077,200,2148,207
"90","10003003002","Census Tract 30.02, New Castle County, Delaware",17949,5511,NA,NA,624,52,624,52,1365,270,1378,271,663,50,1823,255,3537,274
"91","10003010104","Census Tract 101.04, New Castle County, Delaware",28284,5044,NA,NA,1562,92,1562,92,2420,389,2477,402,1656,64,3611,367,3620,367
"92","10003010502","Census Tract 105.02, New Castle County, Delaware",42583,6721,110714,72444,2537,119,2537,119,2343,728,2350,728,2710,45,6193,706,6331,710
"93","10003010702","Census Tract 107.02, New Castle County, Delaware",24955,9666,NA,NA,2508,173,2508,173,2739,939,2811,953,2810,96,6190,640,6190,640
"94","10003013505","Census Tract 135.05, New Castle County, Delaware",58080,7854,NA,NA,1195,86,1195,86,319,176,319,176,1282,27,3130,227,3130,227
"95","10003013506","Census Tract 135.06, New Castle County, Delaware",53363,3926,NA,NA,1550,55,1550,55,93,75,93,75,1601,33,4373,217,4373,217
"96","10003013614","Census Tract 136.14, New Castle County, Delaware",35417,7784,NA,NA,1192,92,1192,92,1472,421,1490,425,1281,57,2961,319,2971,320
"97","10003013615","Census Tract 136.15, New Castle County, Delaware",31176,5349,NA,NA,1660,73,1660,73,615,297,653,307,1813,34,3593,377,3593,377
"98","10003014706","Census Tract 147.06, New Castle County, Delaware",33725,7533,113125,94570,969,69,969,69,1224,260,1224,260,1031,52,2851,262,2856,263
"99","10003014807","Census Tract 148.07, New Castle County, Delaware",42851,4439,113210,52575,3241,137,3241,137,2149,642,2174,660,3398,89,9082,624,9106,626
"100","10003015400","Census Tract 154, New Castle County, Delaware",26464,9679,84531,6068,998,78,998,78,772,284,772,284,1115,39,2974,362,2974,362
"101","10003000200","Census Tract 2, New Castle County, Delaware",37573,8971,NA,NA,2255,164,2255,164,1856,619,1856,619,2426,71,5341,624,5351,624
"102","10003000900","Census Tract 9, New Castle County, Delaware",16007,2956,38355,18361,810,78,810,78,1666,297,1702,301,1115,32,2344,271,2344,271
"103","10003010101","Census Tract 101.01, New Castle County, Delaware",30506,2797,NA,NA,1819,124,1819,124,2836,282,2879,286,2133,46,4078,313,4082,313
"104","10003011205","Census Tract 112.05, New Castle County, Delaware",43708,7611,NA,NA,690,44,690,44,74,64,74,64,734,19,1860,152,1865,152
"105","10003013501","Census Tract 135.01, New Castle County, Delaware",51957,6405,NA,NA,2597,93,2597,93,708,321,723,327,2669,89,6545,390,6952,400
"106","10003014300","Census Tract 143, New Castle County, Delaware",13239,3695,NA,NA,1713,105,1713,105,1056,349,1056,349,1784,79,4332,331,7165,561
"107","10003013901","Census Tract 139.01, New Castle County, Delaware",38043,8779,131429,36763,1058,55,1058,55,831,338,831,338,1120,29,3364,317,3364,317
"108","10003002400","Census Tract 24, New Castle County, Delaware",27850,7540,NA,NA,1875,199,1875,199,2600,638,2639,666,2264,87,4179,638,4346,644
"109","10003015200","Census Tract 152, New Castle County, Delaware",27677,3668,NA,NA,1874,83,1874,83,1537,436,1575,442,1974,49,5098,347,5779,398
"110","10003001500","Census Tract 15, New Castle County, Delaware",28138,6878,NA,NA,1008,92,1008,92,1068,263,1102,276,1206,48,2160,246,2252,248
"111","10003011203","Census Tract 112.03, New Castle County, Delaware",39292,9246,NA,NA,1941,112,1941,112,1550,410,1550,410,2088,41,4637,311,4637,311
